what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331833919835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331833920909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331833952806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331833964475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331833970360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331833978352
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1331833986591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331833988724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331833996745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331834014106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331834015253
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1331834021197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331834022302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331834023388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331834029541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331834030392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331834033774
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1331834040602
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1331834042152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1331834042541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1331834043760
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1331834053106
