what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559009727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559018038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559029251
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1331559030210
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1331559030371
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1331559030673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559032895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559061166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1331559063101
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1331559064334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331559069307
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331559084375
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1331559097506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559097854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559098637
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331559100876
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1331559127179
closed,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331559127186
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331559130580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559135370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331559148017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559148031
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1331559150074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559151931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559152997
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331559154007
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331559154062
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1331559154132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559154929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559155586
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331559156657
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1331559163672
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1331559163707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1331559163764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331559167164
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331559168294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559169282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331559297503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559297515
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1331559298864
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331559311640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559313684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559314213
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331559315479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559331007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559338976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331559341080
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331559355143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559355906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331559433201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559433212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559435561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559436090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559444627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559446048
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331559447477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331559472507
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331559475212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559476188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331559482999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559483012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559485799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559486252
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1331559488912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559892206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559942487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331559946654
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331559949550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559950307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331559959269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559959288
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1331559960144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331559999780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331560001540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331560001560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331560003555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331560005472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1331560019755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331560019767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331560028145
